Class of Year,LEA,LEA Name,School Number,School Name,Cohort,Grad Rate,Diplomas Earned,Adjusted Cohort Count,Create Date
2016,03,Baltimore County,0872,Dulaney High,5-year adjusted cohort,>= 95.00,*,483,20180117
2016,03,Baltimore County,0872,Dulaney High,4-year adjusted cohort,>= 95.00,*,484,20180117
2016,03,Baltimore County,0872,Dulaney High,3-year adjusted cohort,<= 5.00,*,474,20180117
2016,03,Baltimore County,0922,Ridge Ruxton,5-year adjusted cohort,*,*,*,20180117
2016,03,Baltimore County,0922,Ridge Ruxton,4-year adjusted cohort,*,*,*,20180117
2016,03,Baltimore County,0922,Ridge Ruxton,3-year adjusted cohort,*,*,*,20180117
2016,03,Baltimore County,0971,Towson High Law & Public Policy,5-year adjusted cohort,>= 95.00,*,364,20180117
2016,03,Baltimore County,0971,Towson High Law & Public Policy,4-year adjusted cohort,>= 95.00,*,364,20180117
2016,03,Baltimore County,0971,Towson High Law & Public Policy,3-year adjusted cohort,<= 5.00,*,363,20180117
2016,03,Baltimore County,0972,Parkville High & Center for Math/Science,5-year adjusted cohort,89.61,345,385,20180117
2016,03,Baltimore County,0972,Parkville High & Center for Math/Science,4-year adjusted cohort,88.51,339,383,20180117
2016,03,Baltimore County,0972,Parkville High & Center for Math/Science,3-year adjusted cohort,5.74,22,383,20180117
2016,03,Baltimore County,0973,Loch Raven High,5-year adjusted cohort,92.89,222,239,20180117
2016,03,Baltimore County,0973,Loch Raven High,4-year adjusted cohort,91.25,219,240,20180117
2016,03,Baltimore County,0973,Loch Raven High,3-year adjusted cohort,<= 5.00,*,232,20180117
2016,03,Baltimore County,0975,George W. Carver Center for Arts & Technology,5-year adjusted cohort,>= 95.00,*,214,20180117
2016,03,Baltimore County,0975,George W. Carver Center for Arts & Technology,4-year adjusted cohort,>= 95.00,*,214,20180117
2016,03,Baltimore County,0975,George W. Carver Center for Arts & Technology,3-year adjusted cohort,<= 5.00,*,216,20180117
2016,03,Baltimore County,1171,Perry Hall High,5-year adjusted cohort,94.01,534,568,20180117
2016,03,Baltimore County,1171,Perry Hall High,4-year adjusted cohort,93.62,528,564,20180117
2016,03,Baltimore County,1171,Perry Hall High,3-year adjusted cohort,<= 5.00,*,546,20180117
2016,03,Baltimore County,1215,Battle Monument School,5-year adjusted cohort,*,*,*,20180117
2016,03,Baltimore County,1215,Battle Monument School,4-year adjusted cohort,*,*,*,20180117
2016,03,Baltimore County,1215,Battle Monument School,3-year adjusted cohort,*,*,*,20180117
2016,03,Baltimore County,1272,Patapsco High & Center for Arts,5-year adjusted cohort,88.77,324,365,20180117
2016,03,Baltimore County,1272,Patapsco High & Center for Arts,4-year adjusted cohort,86.54,315,364,20180117
2016,03,Baltimore County,1272,Patapsco High & Center for Arts,3-year adjusted cohort,<= 5.00,*,359,20180117
2016,03,Baltimore County,1273,Dundalk High,5-year adjusted cohort,81.50,304,373,20180117
2016,03,Baltimore County,1273,Dundalk High,4-year adjusted cohort,80.77,294,364,20180117
2016,03,Baltimore County,1273,Dundalk High,3-year adjusted cohort,<= 5.00,*,357,20180117
2016,03,Baltimore County,1371,Lansdowne High & Academy of Finance,5-year adjusted cohort,86.09,260,302,20180117
2016,03,Baltimore County,1371,Lansdowne High & Academy of Finance,4-year adjusted cohort,84.82,257,303,20180117
2016,03,Baltimore County,1371,Lansdowne High & Academy of Finance,3-year adjusted cohort,<= 5.00,*,306,20180117
2016,03,Baltimore County,1473,Overlea High & Academy of Finance,5-year adjusted cohort,93.60,234,250,20180117
2016,03,Baltimore County,1473,Overlea High & Academy of Finance,4-year adjusted cohort,90.48,228,252,20180117
2016,03,Baltimore County,1473,Overlea High & Academy of Finance,3-year adjusted cohort,<= 5.00,*,233,20180117
2016,03,Baltimore County,1572,Kenwood High IB and Sports Science,5-year adjusted cohort,83.96,382,455,20180117
2016,03,Baltimore County,1572,Kenwood High IB and Sports Science,4-year adjusted cohort,82.68,377,456,20180117
2016,03,Baltimore County,1572,Kenwood High IB and Sports Science,3-year adjusted cohort,<= 5.00,*,431,20180117
2016,03,Baltimore County,1573,Sparrows Point High,5-year adjusted cohort,>= 95.00,*,207,20180117
2016,03,Baltimore County,1573,Sparrows Point High,4-year adjusted cohort,>= 95.00,*,208,20180117
2016,03,Baltimore County,1573,Sparrows Point High,3-year adjusted cohort,<= 5.00,*,208,20180117
2016,03,Baltimore County,1574,Chesapeake High,5-year adjusted cohort,90.80,227,250,20180117
2016,03,Baltimore County,1574,Chesapeake High,4-year adjusted cohort,89.88,222,247,20180117
2016,03,Baltimore County,1574,Chesapeake High,3-year adjusted cohort,<= 5.00,*,260,20180117
2016,03,Baltimore County,1575,Eastern Technical High School,5-year adjusted cohort,>= 95.00,*,270,20180117
2016,03,Baltimore County,1575,Eastern Technical High School,4-year adjusted cohort,>= 95.00,*,270,20180117
2016,03,Baltimore County,1575,Eastern Technical High School,3-year adjusted cohort,<= 5.00,*,271,20180117
2016,03,Baltimore County,A,All Baltimore County Schools,5-year adjusted cohort,90.41,7154,7913,20180117
2016,03,Baltimore County,A,All Baltimore County Schools,4-year adjusted cohort,89.17,7050,7906,20180117
2016,03,Baltimore County,A,All Baltimore County Schools,3-year adjusted cohort,<= 5.00,*,7851,20180117
2016,04,Calvert,0113,Patuxent High,5-year adjusted cohort,88.93,257,289,20180117
2016,04,Calvert,0113,Patuxent High,4-year adjusted cohort,88.58,256,289,20180117
2016,04,Calvert,0113,Patuxent High,3-year adjusted cohort,<= 5.00,*,283,20180117
2016,04,Calvert,0206,Calvert Country School,5-year adjusted cohort,*,*,*,20180117
2016,04,Calvert,0206,Calvert Country School,4-year adjusted cohort,*,*,*,20180117
2016,04,Calvert,0206,Calvert Country School,3-year adjusted cohort,*,*,*,20180117
2016,04,Calvert,0213,Calvert High,5-year adjusted cohort,>= 95.00,*,286,20180117
2016,04,Calvert,0213,Calvert High,4-year adjusted cohort,93.06,268,288,20180117
2016,04,Calvert,0213,Calvert High,3-year adjusted cohort,<= 5.00,*,286,20180117
2016,04,Calvert,0217,Huntingtown High School,5-year adjusted cohort,>= 95.00,*,376,20180117
2016,04,Calvert,0217,Huntingtown High School,4-year adjusted cohort,>= 95.00,*,376,20180117
2016,04,Calvert,0217,Huntingtown High School,3-year adjusted cohort,<= 5.00,*,369,20180117
2016,04,Calvert,0314,Northern High,5-year adjusted cohort,>= 95.00,*,367,20180117
2016,04,Calvert,0314,Northern High,4-year adjusted cohort,>= 95.00,*,366,20180117
2016,04,Calvert,0314,Northern High,3-year adjusted cohort,<= 5.00,*,359,20180117
2016,04,Calvert,0500,Calvert County Alternative School,5-year adjusted cohort,*,*,*,20180117
2016,04,Calvert,0500,Calvert County Alternative School,4-year adjusted cohort,*,*,*,20180117
2016,04,Calvert,0500,Calvert County Alternative School,3-year adjusted cohort,*,*,*,20180117
2016,04,Calvert,A,All Calvert Schools,5-year adjusted cohort,>= 95.00,*,1321,20180117
2016,04,Calvert,A,All Calvert Schools,4-year adjusted cohort,94.48,1249,1322,20180117
2016,04,Calvert,A,All Calvert Schools,3-year adjusted cohort,<= 5.00,*,1301,20180117
2016,05,Caroline,0703,North Caroline High School,5-year adjusted cohort,88.33,212,240,20180117
2016,05,Caroline,0703,North Caroline High School,4-year adjusted cohort,88.28,211,239,20180117
2016,05,Caroline,0703,North Caroline High School,3-year adjusted cohort,<= 5.00,*,236,20180117
2016,05,Caroline,0801,Colonel Richardson High School,5-year adjusted cohort,91.23,104,114,20180117
2016,05,Caroline,0801,Colonel Richardson High School,4-year adjusted cohort,90.35,103,114,20180117
2016,05,Caroline,0801,Colonel Richardson High School,3-year adjusted cohort,<= 5.00,*,118,20180117
2016,05,Caroline,A,All Caroline Schools,5-year adjusted cohort,89.27,316,354,20180117
2016,05,Caroline,A,All Caroline Schools,4-year adjusted cohort,88.95,314,353,20180117
2016,05,Caroline,A,All Caroline Schools,3-year adjusted cohort,<= 5.00,*,354,20180117
2016,06,Carroll,0202,Francis Scott Key High,5-year adjusted cohort,>= 95.00,*,278,20180117
2016,06,Carroll,0202,Francis Scott Key High,4-year adjusted cohort,>= 95.00,*,280,20180117
2016,06,Carroll,0202,Francis Scott Key High,3-year adjusted cohort,<= 5.00,*,277,20180117
2016,06,Carroll,0507,Liberty High,5-year adjusted cohort,>= 95.00,*,264,20180117
2016,06,Carroll,0507,Liberty High,4-year adjusted cohort,>= 95.00,*,266,20180117
2016,06,Carroll,0507,Liberty High,3-year adjusted cohort,<= 5.00,*,268,20180117
2016,06,Carroll,0510,Century High,5-year adjusted cohort,>= 95.00,*,286,20180117
2016,06,Carroll,0510,Century High,4-year adjusted cohort,>= 95.00,*,288,20180117
2016,06,Carroll,0510,Century High,3-year adjusted cohort,<= 5.00,*,286,20180117
2016,06,Carroll,0602,Manchester Valley High,5-year adjusted cohort,>= 95.00,*,212,20180117
2016,06,Carroll,0602,Manchester Valley High,4-year adjusted cohort,>= 95.00,*,215,20180117
2016,06,Carroll,0602,Manchester Valley High,3-year adjusted cohort,<= 5.00,*,215,20180117
2016,06,Carroll,0704,Winters Mill High,5-year adjusted cohort,94.51,258,273,20180117
2016,06,Carroll,0704,Winters Mill High,4-year adjusted cohort,93.09,256,275,20180117
2016,06,Carroll,0704,Winters Mill High,3-year adjusted cohort,<= 5.00,*,280,20180117
2016,06,Carroll,0707,Westminster High,5-year adjusted cohort,>= 95.00,*,384,20180117
2016,06,Carroll,0707,Westminster High,4-year adjusted cohort,>= 95.00,*,384,20180117
2016,06,Carroll,0707,Westminster High,3-year adjusted cohort,<= 5.00,*,392,20180117
2016,06,Carroll,0712,Carroll Springs School,5-year adjusted cohort,*,*,*,20180117
2016,06,Carroll,0712,Carroll Springs School,4-year adjusted cohort,*,*,*,20180117
2016,06,Carroll,0712,Carroll Springs School,3-year adjusted cohort,*,*,*,20180117
2016,06,Carroll,0716,Gateway School,5-year adjusted cohort,39.39,13,33,20180117
2016,06,Carroll,0716,Gateway School,4-year adjusted cohort,32.35,11,34,20180117
2016,06,Carroll,0716,Gateway School,3-year adjusted cohort,<= 5.00,*,33,20180117
2016,06,Carroll,0717,Post Secondary Program,5-year adjusted cohort,<= 5.00,*,17,20180117
2016,06,Carroll,0717,Post Secondary Program,4-year adjusted cohort,*,*,*,20180117
2016,06,Carroll,0805,North Carroll High,5-year adjusted cohort,>= 95.00,*,182,20180117
2016,06,Carroll,0805,North Carroll High,4-year adjusted cohort,>= 95.00,*,184,20180117
2016,06,Carroll,0805,North Carroll High,3-year adjusted cohort,<= 5.00,*,175,20180117
2016,06,Carroll,0903,Flexible Student Support,5-year adjusted cohort,79.41,54,68,20180117
2016,06,Carroll,0903,Flexible Student Support,4-year adjusted cohort,74.07,40,54,20180117
2016,06,Carroll,0903,Flexible Student Support,3-year adjusted cohort,<= 5.00,*,17,20180117
2016,06,Carroll,1401,South Carroll High,5-year adjusted cohort,>= 95.00,*,251,20180117
2016,06,Carroll,1401,South Carroll High,4-year adjusted cohort,>= 95.00,*,254,20180117
2016,06,Carroll,1401,South Carroll High,3-year adjusted cohort,<= 5.00,*,256,20180117
2016,06,Carroll,A,All Carroll Schools,5-year adjusted cohort,>= 95.00,*,2249,20180117
2016,06,Carroll,A,All Carroll Schools,4-year adjusted cohort,>= 95.00,*,2238,20180117
2016,06,Carroll,A,All Carroll Schools,3-year adjusted cohort,<= 5.00,*,2201,20180117
2016,07,Cecil,0204,Bohemia Manor High,5-year adjusted cohort,94.38,151,160,20180117
2016,07,Cecil,0204,Bohemia Manor High,4-year adjusted cohort,93.17,150,161,20180117
2016,07,Cecil,0204,Bohemia Manor High,3-year adjusted cohort,<= 5.00,*,161,20180117
2016,07,Cecil,0302,Elkton High,5-year adjusted cohort,86.44,255,295,20180117
2016,07,Cecil,0302,Elkton High,4-year adjusted cohort,86.10,254,295,20180117
2016,07,Cecil,0302,Elkton High,3-year adjusted cohort,<= 5.00,*,289,20180117
2016,07,Cecil,0514,North East High,5-year adjusted cohort,89.21,248,278,20180117
2016,07,Cecil,0514,North East High,4-year adjusted cohort,88.77,245,276,20180117
2016,07,Cecil,0514,North East High,3-year adjusted cohort,<= 5.00,*,264,20180117
2016,07,Cecil,0705,Perryville High,5-year adjusted cohort,>= 95.00,*,208,20180117
2016,07,Cecil,0705,Perryville High,4-year adjusted cohort,93.78,196,209,20180117
2016,07,Cecil,0705,Perryville High,3-year adjusted cohort,<= 5.00,*,206,20180117
2016,07,Cecil,0905,Rising Sun High,5-year adjusted cohort,94.16,274,291,20180117
2016,07,Cecil,0905,Rising Sun High,4-year adjusted cohort,93.43,270,289,20180117
2016,07,Cecil,0905,Rising Sun High,3-year adjusted cohort,<= 5.00,*,289,20180117
2016,07,Cecil,A,All Cecil Schools,5-year adjusted cohort,91.48,1127,1232,20180117
2016,07,Cecil,A,All Cecil Schools,4-year adjusted cohort,90.65,1115,1230,20180117
2016,07,Cecil,A,All Cecil Schools,3-year adjusted cohort,<= 5.00,*,1209,20180117
2016,08,Charles,0106,La Plata High School,5-year adjusted cohort,>= 95.00,*,336,20180117
2016,08,Charles,0106,La Plata High School,4-year adjusted cohort,>= 95.00,*,336,20180117
2016,08,Charles,0106,La Plata High School,3-year adjusted cohort,<= 5.00,*,337,20180117
2016,08,Charles,0108,Maurice J. McDonough High School,5-year adjusted cohort,88.79,198,223,20180117
2016,08,Charles,0108,Maurice J. McDonough High School,4-year adjusted cohort,86.04,191,222,20180117
2016,08,Charles,0108,Maurice J. McDonough High School,3-year adjusted cohort,<= 5.00,*,209,20180117
2016,08,Charles,0605,Thomas Stone High School,5-year adjusted cohort,91.51,291,318,20180117
2016,08,Charles,0605,Thomas Stone High School,4-year adjusted cohort,87.46,279,319,20180117
2016,08,Charles,0605,Thomas Stone High School,3-year adjusted cohort,<= 5.00,*,308,20180117
2016,08,Charles,0619,Westlake High School,5-year adjusted cohort,94.91,261,275,20180117
2016,08,Charles,0619,Westlake High School,4-year adjusted cohort,92.70,254,274,20180117
2016,08,Charles,0619,Westlake High School,3-year adjusted cohort,<= 5.00,*,263,20180117
2016,08,Charles,0623,North Point High School,5-year adjusted cohort,>= 95.00,*,479,20180117
2016,08,Charles,0623,North Point High School,4-year adjusted cohort,>= 95.00,*,475,20180117
2016,08,Charles,0623,North Point High School,3-year adjusted cohort,<= 5.00,*,477,20180117
2016,08,Charles,0708,Robert D. Stethem Educational Center,5-year adjusted cohort,*,*,*,20180117
2016,08,Charles,0708,Robert D. Stethem Educational Center,4-year adjusted cohort,*,*,*,20180117
2016,08,Charles,0708,Robert D. Stethem Educational Center,3-year adjusted cohort,<= 5.00,*,11,20180117
2016,08,Charles,0802,St. Charles High School,5-year adjusted cohort,>= 95.00,*,311,20180117
2016,08,Charles,0802,St. Charles High School,4-year adjusted cohort,94.19,292,310,20180117
2016,08,Charles,0802,St. Charles High School,3-year adjusted cohort,<= 5.00,*,298,20180117
2016,08,Charles,1002,Henry E. Lackey High School,5-year adjusted cohort,90.53,220,243,20180117
2016,08,Charles,1002,Henry E. Lackey High School,4-year adjusted cohort,88.11,215,244,20180117
2016,08,Charles,1002,Henry E. Lackey High School,3-year adjusted cohort,<= 5.00,*,253,20180117
2016,08,Charles,A,All Charles Schools,5-year adjusted cohort,94.10,2057,2186,20180117
2016,08,Charles,A,All Charles Schools,4-year adjusted cohort,92.17,2012,2183,20180117
2016,08,Charles,A,All Charles Schools,3-year adjusted cohort,<= 5.00,*,2156,20180117
2016,09,Dorchester,0207,North Dorchester High School,5-year adjusted cohort,88.57,93,105,20180117
2016,09,Dorchester,0207,North Dorchester High School,4-year adjusted cohort,88.57,93,105,20180117
2016,09,Dorchester,0207,North Dorchester High School,3-year adjusted cohort,<= 5.00,*,105,20180117
2016,09,Dorchester,0713,Cambridge-South Dorchester High School,5-year adjusted cohort,86.39,165,191,20180117
2016,09,Dorchester,0713,Cambridge-South Dorchester High School,4-year adjusted cohort,85.34,163,191,20180117
